strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
100200010701,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200010702,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200010801,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200010802,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200010803,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200010901,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200010902,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200010903,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200010904,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200010905,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200010906,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200010907,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200010908,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200011001,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200011002,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200011003,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200011004,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200011101,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200011102,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200011103,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200011104,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200011105,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200011106,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200011107,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200011201,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200011202,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200011203,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200011204,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200011205,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200011206,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200011207,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200011301,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200011302,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200011303,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200011304,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200011305,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200011306,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200011307,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200011308,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200011401,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200011402,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200011403,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200011404,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200011405,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200011406,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200020101,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200020102,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200020103,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200020104,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200020105,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200020106,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200020107,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200020108,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200020109,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200020110,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200020201,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200020202,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200020203,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200020204,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200020301,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200020302,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200020303,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200020304,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200020305,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200020306,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200020307,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200020308,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200020309,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200020310,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200020311,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200020401,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200020402,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200020403,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200020404,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200020405,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200020501,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200020502,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200020503,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200020504,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200020601,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200020602,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200020603,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200020604,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200020605,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200020701,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200020702,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200020703,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200020704,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200020705,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200020706,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200030101,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200030102,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200030103,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200030104,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200030105,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200030106,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200030201,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200030202,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200030203,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200030204,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200030301,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200030302,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200030303,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200030304,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200030305,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200030306,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200030307,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200030308,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200030309,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200030401,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200030402,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200030403,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200030501,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200030502,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200030503,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200030504,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200030505,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200030506,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200030507,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200030508,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040101,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040102,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040103,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040104,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040201,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040202,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040203,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040301,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040302,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040303,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040304,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040305,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040306,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040307,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040308,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040309,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040401,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040402,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040403,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040404,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040405,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040406,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040407,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040408,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040409,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040501,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040502,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040503,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040504,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040505,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040506,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040507,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040508,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040509,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040601,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040602,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040603,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040604,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040605,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040606,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040607,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040608,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040701,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040702,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040703,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040801,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040802,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040803,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040804,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040805,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040806,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040807,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040808,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040901,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040902,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040903,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040904,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040905,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040906,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040907,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040908,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200040909,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200041001,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200041002,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200041003,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200041101,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200041102,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200041103,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200041104,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200041201,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200041202,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200041203,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200041204,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200041205,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200041206,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200041207,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200041208,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200041209,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200041301,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200041302,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200041303,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200041304,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200041305,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200041306,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200041307,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200041308,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200050101,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200050102,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200050103,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200050104,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200050105,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200050106,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200050201,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200050202,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200050203,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200050204,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200050301,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200050302,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200050303,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200050401,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200050402,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200050403,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200050501,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200050502,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200050503,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200050504,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200050601,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200050602,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200050603,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200050701,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200050702,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200050703,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200050704,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200050705,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200050801,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200050802,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200050803,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200050804,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200050805,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200060101,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200060102,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200060103,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200060104,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200060201,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200060202,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200060203,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200060204,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200060301,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200060302,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200060303,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200060401,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200060402,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200060501,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200060502,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200060503,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200060504,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200060505,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200060506,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200060507,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200060508,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200060509,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200070101,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200070102,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200070103,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200070104,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200070105,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200070106,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200070107,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200070201,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
